"Date","Price","Open","High","Low","Vol.","Change %"
"14-06-2024","76,992.77","76,912.38","77,081.30","76,549.05","12.37M","0.24%"
"13-06-2024","76,810.90","77,102.05","77,145.46","76,719.70","7.47M","0.27%"
"12-06-2024","76,606.57","76,679.11","77,050.53","76,533.78","9.72M","0.20%"
"11-06-2024","76,456.59","76,680.90","76,860.53","76,296.44","6.71M","-0.04%"
"10-06-2024","76,490.08","76,935.41","77,079.04","76,379.73","17.25M","-0.27%"
"07-06-2024","76,693.36","75,031.79","76,795.31","74,941.88","29.00M","2.16%"
"06-06-2024","75,074.51","75,078.70","75,297.73","74,474.94","13.33M","0.93%"
"05-06-2024","74,382.24","73,027.88","74,534.82","71,879.44","17.18M","3.20%"
"04-06-2024","72,079.05","76,285.78","76,300.46","70,234.43","39.08M","-5.74%"
"03-06-2024","76,468.78","76,583.29","76,738.89","75,678.43","19.34M","3.39%"
"31-05-2024","73,961.31","74,208.53","74,478.89","73,765.15","19.20M","0.10%"
"30-05-2024","73,885.60","74,365.88","74,493.55","73,668.73","11.83M","-0.83%"
"29-05-2024","74,502.90","74,826.94","74,986.22","74,454.55","8.18M","-0.89%"
"28-05-2024","75,170.45","75,585.40","75,585.40","75,083.22","6.94M","-0.29%"
"27-05-2024","75,390.50","75,655.46","76,009.68","75,175.27","10.19M","-0.03%"
"24-05-2024","75,410.39","75,335.45","75,636.50","75,244.22","10.29M","-0.01%"
"23-05-2024","75,418.04","74,253.53","75,499.91","74,158.35","11.88M","1.61%"
"22-05-2024","74,221.06","74,165.52","74,307.79","73,860.33","6.23M","0.36%"
"21-05-2024","73,953.31","73,842.96","74,189.19","73,762.37","11.03M","-0.07%"
"18-05-2024","74,005.94","73,921.46","74,162.76","73,920.63","1.11M","0.12%"
"17-05-2024","73,917.03","73,711.31","74,070.84","73,459.80","11.88M","0.34%"
"16-05-2024","73,663.72","73,338.24","73,749.47","72,529.97","9.68M","0.93%"
