"Date","Price","Open","High","Low","Vol.","Change %"
"14-06-2024","76,992.77","76,912.38","77,081.30","76,549.05","12.37M","0.24%"
"13-06-2024","76,810.90","77,102.05","77,145.46","76,719.70","7.47M","0.27%"
"12-06-2024","76,606.57","76,679.11","77,050.53","76,533.78","9.72M","0.20%"
"11-06-2024","76,456.59","76,680.90","76,860.53","76,296.44","6.71M","-0.04%"
"10-06-2024","76,490.08","76,935.41","77,079.04","76,379.73","17.25M","-0.27%"
"07-06-2024","76,693.36","75,031.79","76,795.31","74,941.88","29.00M","2.16%"
"06-06-2024","75,074.51","75,078.70","75,297.73","74,474.94","13.33M","0.93%"
"05-06-2024","74,382.24","73,027.88","74,534.82","71,879.44","17.18M","3.20%"
"04-06-2024","72,079.05","76,285.78","76,300.46","70,234.43","39.08M","-5.74%"
"03-06-2024","76,468.78","76,583.29","76,738.89","75,678.43","19.34M","3.39%"
"31-05-2024","73,961.31","74,208.53","74,478.89","73,765.15","19.20M","0.10%"
"30-05-2024","73,885.60","74,365.88","74,493.55","73,668.73","11.83M","-0.83%"
"29-05-2024","74,502.90","74,826.94","74,986.22","74,454.55","8.18M","-0.89%"
"28-05-2024","75,170.45","75,585.40","75,585.40","75,083.22","6.94M","-0.29%"
"27-05-2024","75,390.50","75,655.46","76,009.68","75,175.27","10.19M","-0.03%"
"24-05-2024","75,410.39","75,335.45","75,636.50","75,244.22","10.29M","-0.01%"
"23-05-2024","75,418.04","74,253.53","75,499.91","74,158.35","11.88M","1.61%"
"22-05-2024","74,221.06","74,165.52","74,307.79","73,860.33","6.23M","0.36%"
"21-05-2024","73,953.31","73,842.96","74,189.19","73,762.37","11.03M","-0.07%"
"18-05-2024","74,005.94","73,921.46","74,162.76","73,920.63","1.11M","0.12%"
"17-05-2024","73,917.03","73,711.31","74,070.84","73,459.80","11.88M","0.34%"
"16-05-2024","73,663.72","73,338.24","73,749.47","72,529.97","9.68M","0.93%"
"15-05-2024","72,987.03","73,200.23","73,301.47","72,822.66","7.72M","-0.16%"
"14-05-2024","73,104.61","72,696.72","73,285.65","72,696.72","7.13K","0.45%"
"13-05-2024","72,776.13","72,476.65","72,862.34","71,871.62","13.88K","0.15%"
"10-05-2024","72,664.47","72,475.45","72,945.23","72,379.67","11.02K","0.36%"
"09-05-2024","72,404.17","73,499.49","73,499.49","72,334.18","9.21M","-1.45%"
"08-05-2024","73,466.39","73,225.00","73,684.93","73,073.92","6.49M","-0.06%"
"07-05-2024","73,511.85","73,973.30","74,026.80","73,259.26","7.94M","-0.52%"
"06-05-2024","73,895.54","74,196.68","74,359.69","73,786.29","11.17M","0.02%"
"03-05-2024","73,878.15","75,017.82","75,095.18","73,467.73","15.62M","-0.98%"
"02-05-2024","74,611.11","74,391.73","74,812.43","74,360.69","18.43M","0.17%"
"30-04-2024","74,482.78","74,800.89","75,111.39","74,346.40","8.45M","-0.25%"
"29-04-2024","74,671.28","73,982.75","74,721.15","73,922.34","9.91B","1.28%"
"26-04-2024","73,730.16","74,509.31","74,515.91","73,616.65","13.70B","-0.82%"
"25-04-2024","74,339.44","73,572.34","74,571.25","73,556.15","11.85B","0.66%"
"24-04-2024","73,852.94","73,957.57","74,121.61","73,788.61","6.58B","0.16%"
"23-04-2024","73,738.45","74,048.94","74,059.89","73,688.31","6.43B","0.12%"
"22-04-2024","73,648.62","73,666.51","73,767.80","73,227.32","11.05M","0.77%"
"19-04-2024","73,088.33","71,999.65","73,210.17","71,816.46","16.20M","0.83%"
"18-04-2024","72,488.99","73,183.10","73,473.05","72,365.67","12.41M","-0.62%"
"16-04-2024","72,943.68","72,892.14","73,135.43","72,685.03","9.17M","-0.62%"
